load,duration,system,type,countTh,cpuTh,methodTimeTh,memoryUsageTh,heapTh,numMsgs,option,foundAP,time
25,3,openmrs,CTH,15,25,-1,-1,-1,-1,min,0,0
25,3,openmrs,CTH,15,25,-1,-1,-1,-1,max,0,0
25,3,openmrs,CTH,15,25,-1,-1,-1,-1,average,0,0
25,3,openmrs,CTH,15,30,-1,-1,-1,-1,min,0,0
25,3,openmrs,CTH,15,30,-1,-1,-1,-1,max,0,0
25,3,openmrs,CTH,15,30,-1,-1,-1,-1,average,0,0
25,3,openmrs,CTH,15,35,-1,-1,-1,-1,min,0,0
25,3,openmrs,CTH,15,35,-1,-1,-1,-1,max,0,0
25,3,openmrs,CTH,15,35,-1,-1,-1,-1,average,0,0
25,3,openmrs,CTH,15,40,-1,-1,-1,-1,min,0,0
25,3,openmrs,CTH,15,40,-1,-1,-1,-1,max,0,0
25,3,openmrs,CTH,15,40,-1,-1,-1,-1,average,0,0
25,3,openmrs,CTH,15,45,-1,-1,-1,-1,min,0,0
25,3,openmrs,CTH,15,45,-1,-1,-1,-1,max,0,0
25,3,openmrs,CTH,15,45,-1,-1,-1,-1,average,0,1
25,3,openmrs,CTH,15,50,-1,-1,-1,-1,min,0,0
25,3,openmrs,CTH,15,50,-1,-1,-1,-1,max,0,0
25,3,openmrs,CTH,15,50,-1,-1,-1,-1,average,0,0
25,3,openmrs,CTH,15,55,-1,-1,-1,-1,min,0,0
25,3,openmrs,CTH,15,55,-1,-1,-1,-1,max,0,0
25,3,openmrs,CTH,15,55,-1,-1,-1,-1,average,0,0
25,3,openmrs,CTH,15,60,-1,-1,-1,-1,min,0,0
25,3,openmrs,CTH,15,60,-1,-1,-1,-1,max,0,0
25,3,openmrs,CTH,15,60,-1,-1,-1,-1,average,0,0
25,3,openmrs,CTH,15,65,-1,-1,-1,-1,min,0,0
25,3,openmrs,CTH,15,65,-1,-1,-1,-1,max,0,0
25,3,openmrs,CTH,15,65,-1,-1,-1,-1,average,0,0
25,3,openmrs,CTH,15,70,-1,-1,-1,-1,min,0,0
25,3,openmrs,CTH,15,70,-1,-1,-1,-1,max,0,0
25,3,openmrs,CTH,15,70,-1,-1,-1,-1,average,0,0
25,3,openmrs,CTH,15,75,-1,-1,-1,-1,min,0,0
25,3,openmrs,CTH,15,75,-1,-1,-1,-1,max,0,0
25,3,openmrs,CTH,15,75,-1,-1,-1,-1,average,0,0
25,3,openmrs,CTH,15,80,-1,-1,-1,-1,min,0,0
25,3,openmrs,CTH,15,80,-1,-1,-1,-1,max,0,0
25,3,openmrs,CTH,15,80,-1,-1,-1,-1,average,0,0
25,3,openmrs,CTH,15,85,-1,-1,-1,-1,min,0,0
25,3,openmrs,CTH,15,85,-1,-1,-1,-1,max,0,0
25,3,openmrs,CTH,15,85,-1,-1,-1,-1,average,0,0
25,3,openmrs,CTH,15,90,-1,-1,-1,-1,min,0,0
25,3,openmrs,CTH,15,90,-1,-1,-1,-1,max,0,0
25,3,openmrs,CTH,15,90,-1,-1,-1,-1,average,0,0
25,3,openmrs,CTH,15,95,-1,-1,-1,-1,min,0,0
25,3,openmrs,CTH,15,95,-1,-1,-1,-1,max,0,0
25,3,openmrs,CTH,15,95,-1,-1,-1,-1,average,0,0
25,3,openmrs,CTH,20,5,-1,-1,-1,-1,min,0,10
25,3,openmrs,CTH,20,5,-1,-1,-1,-1,max,1,11
25,3,openmrs,CTH,20,5,-1,-1,-1,-1,average,0,12
25,3,openmrs,CTH,20,10,-1,-1,-1,-1,min,0,13
